Name;Energy100g;Sugar100g;Fat100g;Carb100g;Weight_gram
BeveragesteagreenreadytodrinkcitrusdietfortifiedwithvitaminC;1.0;6.87;0.0;0.31;265.0
Beveragesteagreenreadytodrinkdiet;4.0;6.87;0.0;0.93;269.0
Beveragesteagreenreadytodrinksweetened;27.0;5.32;0.22;6.2;270.0
Beveragesteaherbbrewedchamomile;1.0;5.32;0.0;0.2;29.6
Beveragesteaherbotherthanchamomilebrewed;1.0;5.32;0.0;0.2;29.6
Beveragesteahibiscusbrewed;0.0;5.32;0.0;0.2;237.0
Beveragesteainstantdecaffeinatedlemondiet;338.0;1.88;0.6;85.4;1.6
Beveragesteainstantdecaffeinatedlemonsweetened;401.0;95.29;0.73;98.55;23.0
Beveragesteainstantdecaffeinatedunsweetened;315.0;5.53;0.0;58.66;0.7
Beveragesteainstantlemondiet;2.0;0.01;0.0;0.44;29.8
Beveragesteainstantlemonsweetenedpowder;401.0;95.29;0.73;98.55;23.0
Beveragesteainstantlemonsweetenedpreparedwithwater;35.0;8.33;0.06;8.61;259.0
Beveragesteainstantlemonunsweetened;345.0;4.52;0.18;78.52;1.4
Beveragesteainstantlemonwithaddedascorbicacid;385.0;4.52;0.3;97.6;23.0
Beveragesteainstantsweetenedwithsodiumsaccharinlemonflavoredpowder;338.0;1.88;0.6;85.4;1.6
Beveragesteainstantunsweetenedpowder;315.0;5.53;0.0;58.66;0.7
Beveragesteainstantunsweetenedpreparedwithwater;1.0;0.02;0.0;0.17;29.7
Beveragesteareadytodrinklemondiet;2.0;0.02;0.0;0.41;266.0
BeveragesTheCOCACOLAcompanyDASANIwaterbottlednoncarbonated;0.0;0.02;0.0;0.41;29.6
BeveragesTheCOCACOLAcompanyGlaceauVitaminWaterReviveFruitPunchfortified;0.0;0.02;0.0;0.41;591.0
BeveragesTheCOCACOLAcompanyHiCFlashinFruitPunch;45.0;0.02;0.0;12.5;200.0
BeveragesTheCOCACOLAcompanyMinuteMaidLemonade;46.0;11.67;0.0;12.08;240.0
BeveragesTHECOCACOLACOMPANYNOSenergydrinkOriginalgrapeloadedcherrychargedcitrusfortifiedwithvitaminsB6andB12;44.0;11.67;0.0;11.25;480.0
BeveragesTHECOCACOLACOMPANYNOSZeroenergydrinksugarfreewithguaranafortifiedwithvitaminsB6andB12;4.0;11.67;0.0;1.03;480.0
BeveragesTropicalPunchreadytodrink;10.0;11.67;0.0;2.5;210.0
BeveragesUNILEVERSLIMFASTShakeMixhighproteinwheypowder321Plan;433.0;20.59;13.46;50.0;26.0
BeveragesUNILEVERSLIMFASTShakeMixpowder321Plan;448.0;38.02;13.34;73.92;26.0
BeveragesUNILEVERSLIMFASTmealreplacementregularreadytodrink321Plan;57.0;5.95;1.93;7.74;295.0
BeveragesV8SPLASHJuiceDrinksBerryBlend;29.0;5.95;0.0;7.41;243.0
BeveragesV8SPLASHJuiceDrinksDietBerryBlend;4.0;0.41;0.0;1.23;243.0
BeveragesV8SPLASHJuiceDrinksDietFruitMedley;4.0;0.84;0.0;1.26;238.0
BeveragesV8SPLASHJuiceDrinksDietStrawberryKiwi;4.0;0.84;0.0;1.26;238.0
BeveragesV8SPLASHJuiceDrinksDietTropicalBlend;4.0;0.42;0.0;1.26;238.0
BeveragesV8SPLASHJuiceDrinksFruitMedley;33.0;0.42;0.0;7.82;243.0
BeveragesV8SPLASHJuiceDrinksGuavaPassionFruit;33.0;0.42;0.0;7.82;243.0
BeveragesV8SPLASHJuiceDrinksMangoPeach;33.0;0.42;0.0;8.23;243.0
BeveragesV8SPLASHJuiceDrinksOrangePineapple;29.0;0.42;0.0;7.41;243.0
BeveragesV8SPLASHJuiceDrinksOrchardBlend;33.0;0.42;0.0;7.82;243.0
BeveragesV8SPLASHJuiceDrinksStrawberryBanana;29.0;0.42;0.0;7.41;243.0
BeveragesV8SPLASHJuiceDrinksStrawberryKiwi;29.0;0.42;0.0;7.41;243.0
BeveragesV8SPLASHJuiceDrinksTropicalBlend;29.0;0.42;0.0;7.41;243.0
BeveragesV8SPLASHSmoothiesPeachMango;37.0;7.35;0.0;7.76;245.0
BeveragesV8SPLASHSmoothiesStrawberryBanana;37.0;7.35;0.0;8.16;245.0
BeveragesV8SPLASHSmoothiesTropicalColada;41.0;7.32;0.0;8.54;246.0
BeveragesV8VFUSIONJuicesAcaiBerry;45.0;10.57;0.0;10.98;246.0
BeveragesV8VFUSIONJuicesPeachMango;49.0;10.57;0.0;11.38;246.0
BeveragesV8VFUSIONJuicesStrawberryBanana;49.0;10.16;0.0;11.79;246.0
BeveragesV8VFUSIONJuicesTropical;49.0;10.16;0.0;11.38;246.0
Beveragesvegetableandfruitjuiceblend100juicewithaddedvitaminsACE;46.0;10.37;0.01;11.15;246.0
BeveragesVegetableandfruitjuicedrinkreducedcaloriewithlowcaloriesweeteneraddedvitaminC;4.0;0.63;0.0;1.1;238.0
BeveragesWaterwithaddedvitaminsandmineralsbottlessweetenedassortedfruitflavors;22.0;0.63;0.0;5.49;237.0
BeverageswaterbottlednoncarbonatedCALISTOGA;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottlednoncarbonatedCRYSTALGEYSER;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottlednoncarbonatedDANNON;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottlednoncarbonatedEVIAN;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottlednoncarbonatedPEPSIAQUAFINA;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottledPERRIER;0.0;0.63;0.0;5.49;29.6
BeverageswaterbottledPOLANDSPRING;0.0;0.63;0.0;5.49;29.6
Beverageswaterbottledyumberrypomegranatewithantioxidantszerocalories;5.0;0.63;0.0;1.25;240.0
Beverageswatertapdrinking;0.0;0.63;0.0;1.25;29.6
Beverageswatertapmunicipal;0.0;0.63;0.0;1.25;29.6
Beverageswatertapwell;0.0;0.63;0.0;1.25;29.6
BeveragesWENDYSteareadytodrinkunsweetened;1.0;0.63;0.0;1.25;29.6
BeveragesWheyproteinpowderisolate;359.0;0.63;1.16;29.07;86.0
BeveragesWhiskeysourmixbottled;87.0;0.63;0.1;21.4;32.3
BeveragesWhiskeysourmixpowder;383.0;0.63;0.1;97.3;17.0
BeveragesWinenonalcoholic;6.0;0.63;0.0;1.1;29.0
Beveragesyellowgreencoloredcitrussoftdrinkwithcaffeine;49.0;12.9;0.0;12.83;473.0
BeveragesZEVIAcola;0.0;12.9;0.0;1.13;355.0
BeveragesZEVIAcolacaffeinefree;0.0;12.9;0.0;1.13;355.0
Biscuitsmixedgrainrefrigerateddough;263.0;12.9;5.6;47.4;28.35
Biscuitsplainorbuttermilkdrymix;428.0;11.65;15.4;63.4;120.0
Biscuitsplainorbuttermilkdrymixprepared;335.0;11.65;12.1;48.4;28.35
Biscuitsplainorbuttermilkfrozenbaked;338.0;3.48;11.03;53.87;28.35
Biscuitsplainorbuttermilkpreparedfromrecipe;353.0;2.18;16.3;44.6;28.35
Biscuitsplainorbuttermilkrefrigerateddoughhigherfat;307.0;7.4;10.58;46.32;58.0
Biscuitsplainorbuttermilkrefrigerateddoughhigherfatbaked;324.0;8.19;11.22;49.05;51.0
Biscuitsplainorbuttermilkrefrigerateddoughlowerfat;270.0;7.18;7.83;43.7;58.0
Biscuitsplainorbuttermilkrefrigerateddoughlowerfatbaked;319.0;8.14;9.1;51.6;28.35
Bisongroundgrassfedcooked;179.0;8.14;8.62;0.0;85.0
Bisongroundgrassfedraw;146.0;0.0;7.21;0.05;85.0
Blackberriescannedheavysyrupsolidsandliquids;92.0;19.7;0.14;23.1;256.0
Blackberriesfrozenunsweetened;64.0;10.67;0.43;15.67;151.0
Blackberriesraw;43.0;4.88;0.49;9.61;144.0
BlackberrieswildrawAlaskaNative;52.0;3.65;1.07;9.84;157.0
Blackberryjuicecanned;38.0;7.7;0.6;7.8;250.0
Bloodsausage;379.0;7.7;34.5;1.29;100.0
Blueberriescannedheavysyrupsolidsandliquids;88.0;20.46;0.33;22.06;256.0
Blueberriescannedlightsyrupdrained;88.0;17.45;0.4;22.66;244.0
Blueberriesdriedsweetened;317.0;67.5;2.5;80.0;40.0
Blueberriesfrozensweetened;85.0;19.72;0.13;21.95;230.0
BlueberriesfrozenunsweetenedIncludesfoodsforUSDAsFoodDistributionProgram;51.0;8.45;0.64;12.17;155.0
Blueberriesraw;57.0;9.96;0.33;14.49;148.0
Blueberrieswildcannedheavysyrupdrained;107.0;19.28;0.34;28.32;319.0
BlueberrieswildfrozenIncludesfoodsforUSDAsFoodDistributionProgram;57.0;19.28;0.16;13.85;140.0
Bockwurstporkvealraw;301.0;1.33;25.87;2.95;91.0
Bolognabeef;299.0;2.05;26.13;4.29;30.0
Bolognabeefandpork;308.0;4.42;24.59;5.49;100.0
Bolognabeefandporklowfat;230.0;0.0;19.3;2.6;138.0
Bolognabeeflowfat;204.0;0.0;14.8;5.2;28.0
Bolognachickenpork;336.0;0.0;30.61;4.19;28.0
Bolognachickenporkbeef;272.0;0.0;22.73;5.61;28.0
Bolognachickenturkeypork;298.0;0.0;26.18;5.65;28.0
Bolognameatandpoultry;281.0;1.97;23.77;6.31;33.0
Bolognapork;247.0;0.0;19.87;0.73;28.0
Bolognaporkandturkeylite;211.0;0.0;16.06;3.45;56.0
Bolognaporkturkeyandbeef;336.0;1.35;29.25;6.66;28.35
Bolognaturkey;209.0;2.9;16.05;4.68;28.0
Borageraw;21.0;2.9;0.7;3.06;89.0
Boysenberriescannedheavysyrup;88.0;2.9;0.12;22.31;256.0
Boysenberriesfrozenunsweetened;50.0;6.89;0.26;12.19;132.0
Bratwurstbeefandporksmoked;297.0;0.0;26.34;2.0;66.0
Bratwurstchickencooked;176.0;0.0;10.35;0.0;84.0
Bratwurstporkbeefandturkeylitesmoked;186.0;1.57;13.53;1.62;66.0
Bratwurstporkbeeflink;323.0;1.57;27.8;2.98;70.0
Bratwurstporkcooked;333.0;0.0;29.18;2.85;85.0
Bratwurstvealcooked;341.0;0.0;31.7;0.0;84.0
Braunschweigeraliversausagepork;327.0;0.0;28.5;3.1;28.35
Breadbananapreparedfromrecipemadewithmargarine;326.0;0.0;10.5;54.6;28.35
Breadbostonbrowncanned;195.0;2.42;1.5;43.3;28.35
Breadchapatiorrotiplaincommerciallyprepared;297.0;2.72;7.45;46.36;68.0
Breadchapatiorrotiwholewheatcommerciallypreparedfrozen;299.0;2.93;9.2;46.13;43.0
Breadcheese;408.0;2.08;20.83;44.83;48.0
Breadcinnamon;253.0;14.11;5.29;44.38;28.0
Breadcornbreaddrymixenrichedincludescornmuffinmix;418.0;20.34;12.2;69.5;28.35
Breadcornbreaddrymixpreparedwith2milk80margarineandeggs;330.0;16.05;9.58;54.46;51.0
Breadcornbreaddrymixunenrichedincludescornmuffinmix;418.0;16.05;12.2;69.5;28.35
Breadcornbreadpreparedfromrecipemadewithlowfat2milk;266.0;16.05;7.1;43.5;28.35
Breadcrackedwheat;260.0;16.05;3.9;49.5;28.35
Breadcrumbsdrygratedplain;395.0;6.2;5.3;71.98;28.35
Breadcrumbsdrygratedseasoned;383.0;5.74;5.48;68.49;28.35
Breadegg;287.0;1.78;6.0;47.8;28.35
Breadeggtoasted;315.0;1.94;6.6;52.6;28.35
Breadfrenchorviennaincludessourdough;272.0;4.62;2.42;51.88;28.35
Breadfrenchorviennatoastedincludessourdough;319.0;3.59;2.14;61.93;28.35
Breadfrenchorviennawholewheat;239.0;0.0;1.04;49.1;48.0
Breadglutenfreewhitemadewithpotatoextractricestarchandriceflour;320.0;8.36;10.7;52.83;34.0
Breadglutenfreewhitemadewithriceflourcornstarchandortapioca;248.0;3.53;5.24;45.78;35.0
Breadglutenfreewhitemadewithtapiocastarchandbrownriceflour;298.0;11.3;8.02;51.15;28.0
Breadglutenfreewholegrainmadewithtapiocastarchandbrownriceflour;309.0;9.81;9.34;49.09;25.0
Breadirishsodapreparedfromrecipe;290.0;9.81;5.0;56.0;28.35
BreadItalian;259.0;4.69;2.73;48.11;28.35
BreadkneeldownNavajo;195.0;3.74;2.21;39.47;28.35
Breadmultigrainincludeswholegrain;265.0;6.39;4.23;43.34;28.35
Breadmultigraintoastedincludeswholegrain;288.0;6.94;4.6;47.11;28.35
Breadnaanplaincommerciallypreparedrefrigerated;291.0;3.55;5.65;50.43;90.0
Breadnaanwholewheatcommerciallypreparedrefrigerated;286.0;3.4;6.7;46.21;106.0
Breadoatbran;236.0;7.7;4.4;39.8;28.35
Breadoatbrantoasted;259.0;8.46;4.8;43.7;28.35
Breadoatmeal;269.0;8.14;4.4;48.5;28.35
Breadoatmealtoasted;292.0;8.84;4.8;52.7;28.35
Breadpandulcesweetyeastbread;367.0;12.5;11.58;56.38;63.0
Breadparathawholewheatcommerciallypreparedfrozen;326.0;4.15;13.2;45.35;79.0
Breadpitawhiteenriched;275.0;1.3;1.2;55.7;60.0
Breadpitawhiteunenriched;275.0;1.3;1.2;55.7;28.35
Breadpitawholewheat;262.0;2.87;1.71;55.89;64.0
Breadpotato;266.0;9.38;3.13;47.07;32.0
Breadpoundcaketypepandetortasalvadoran;390.0;18.1;17.45;51.29;55.0
Breadproteinincludesgluten;245.0;1.44;2.2;43.8;28.35
Breadproteinincludesglutentoasted;270.0;1.44;2.4;48.1;28.35
Breadpumpernickel;250.0;0.53;3.1;47.5;28.35
Breadraisinenriched;274.0;5.68;4.4;52.3;28.35
Breadraisinenrichedtoasted;297.0;6.18;4.8;56.9;28.35
Breadraisinunenriched;274.0;6.18;4.4;52.3;28.35
Breadreducedcalorieoatbran;201.0;3.52;3.2;41.3;28.35
Breadreducedcalorieoatbrantoasted;239.0;4.2;3.8;49.2;28.35
Breadreducedcalorieoatmeal;210.0;4.2;3.5;43.3;28.35
Breadreducedcalorierye;203.0;2.29;2.9;40.5;28.35
Breadreducedcaloriewheat;217.0;3.71;2.92;42.47;28.35
Breadreducedcaloriewhite;207.0;4.76;2.5;44.3;28.35
Breadricebran;243.0;4.67;4.6;43.5;28.35
Breadricebrantoasted;264.0;5.08;5.0;47.3;28.35
BreadrollMexicanbollilo;318.0;3.55;5.8;55.77;98.0
Breadrye;259.0;3.85;3.3;48.3;28.35
Breadryetoasted;284.0;4.23;3.6;53.1;28.35
Breadsalvadoransweetcheesequesadillasalvadorena;374.0;24.9;17.12;47.84;55.0
Breadsticksplain;412.0;1.26;9.5;68.4;46.0
Breadstuffingcornbreaddrymix;389.0;13.16;4.2;76.7;28.35
Breadstuffingcornbreaddrymixprepared;179.0;0.0;8.8;21.9;28.35
Breadstuffingdrymix;386.0;8.27;3.4;76.2;28.35
Breadstuffingdrymixprepared;195.0;2.04;12.05;18.84;28.35
Breadwheat;274.0;5.73;4.53;47.54;29.0
Breadwheatsprouted;188.0;2.63;0.0;33.88;38.0
Breadwheatsproutedtoasted;205.0;2.86;0.0;36.82;38.0
Breadwheattoasted;313.0;6.42;4.27;55.77;28.35
Breadwhitewheat;238.0;5.0;2.15;43.91;28.0
Breadwhitecommerciallypreparedincludessoftbreadcrumbs;266.0;5.67;3.33;49.42;29.0
Breadwhitecommerciallypreparedlowsodiumnosalt;267.0;4.31;3.6;49.6;28.35
Breadwhitecommerciallypreparedtoasted;290.0;6.2;4.0;54.5;28.35
Breadwhitecommerciallypreparedtoastedlowsodiumnosalt;293.0;6.2;4.0;54.4;28.35
Breadwhitepreparedfromrecipemadewithlowfat2milk;285.0;6.2;5.7;49.6;28.35
Breadwhitepreparedfromrecipemadewithnonfatdrymilk;274.0;6.2;2.6;53.6;28.35
Breadwholewheatcommerciallyprepared;252.0;4.34;3.5;42.71;32.0
Breadwholewheatcommerciallypreparedtoasted;306.0;5.77;4.07;51.16;28.35
Breadwholewheatpreparedfromrecipe;278.0;3.84;5.4;51.4;28.35
Breadwholewheatpreparedfromrecipetoasted;305.0;4.22;5.9;56.4;28.35
Breadfruitraw;103.0;11.0;0.23;27.12;220.0
Breakfastbarcornflakecrustwithfruit;376.0;35.1;7.5;72.8;28.35
Breakfastbarsoatssugarraisinscoconutincludegranolabar;464.0;27.52;17.6;66.7;43.0
Broadbeansfavabeansmatureseedscanned;71.0;27.52;0.22;12.41;256.0
Broadbeansfavabeansmatureseedscookedboiledwithsalt;110.0;1.82;0.4;19.65;170.0
Broadbeansfavabeansmatureseedscookedboiledwithoutsalt;110.0;1.82;0.4;19.65;170.0
Broadbeansfavabeansmatureseedsraw;341.0;5.7;1.53;58.29;150.0
Broadbeansimmatureseedsraw;72.0;5.7;0.6;11.7;109.0
Broccoliraabcooked;25.0;0.62;0.52;3.12;85.0
Broccoliraabraw;22.0;0.38;0.49;2.85;40.0
Broccolichinesecooked;22.0;0.84;0.72;3.81;88.0
Broccolicookedboileddrainedwithsalt;35.0;1.39;0.41;7.18;78.0
Broccolicookedboileddrainedwithoutsalt;35.0;1.39;0.41;7.18;78.0
Broccoliflowerclustersraw;28.0;1.48;0.35;5.06;71.0
Broccolifrozenchoppedcookedboileddrainedwithsalt;28.0;1.47;0.12;5.35;184.0
Broccolifrozenchoppedcookedboileddrainedwithoutsalt;28.0;1.47;0.12;5.35;184.0
Broccolifrozenchoppedunprepared;26.0;1.35;0.29;4.78;156.0
Broccolifrozenspearscookedboileddrainedwithsalt;28.0;1.44;0.11;5.35;92.0
Broccolifrozenspearscookedboileddrainedwithoutsalt;28.0;1.47;0.11;5.36;92.0
BroccolifrozenspearsunpreparedIncludesfoodsforUSDAsFoodDistributionProgram;29.0;1.47;0.34;5.35;95.0
Broccoliraw;34.0;1.7;0.37;6.64;91.0
Broccolistalksraw;28.0;1.7;0.35;5.24;114.0
Brusselssproutscookedboileddrainedwithsalt;36.0;1.74;0.5;7.1;21.0
Brusselssproutscookedboileddrainedwithoutsalt;36.0;1.74;0.5;7.1;21.0
Brusselssproutsfrozencookedboileddrainedwithsalt;42.0;2.08;0.39;8.32;155.0
Brusselssproutsfrozencookedboileddrainedwithoutsalt;42.0;2.08;0.39;8.32;155.0
Brusselssproutsfrozenunprepared;41.0;2.03;0.41;7.86;95.0
Brusselssproutsraw;43.0;2.2;0.3;8.95;88.0
Buckwheat;343.0;2.2;3.4;71.5;170.0
Buckwheatflourwholegroat;335.0;2.6;3.1;70.59;120.0
Buckwheatgroatsroastedcooked;92.0;0.9;0.62;19.94;168.0
Buckwheatgroatsroasteddry;346.0;0.9;2.71;74.95;164.0
Bulgurcooked;83.0;0.1;0.24;18.58;182.0
Bulgurdry;342.0;0.41;1.33;75.87;140.0
Burdockrootcookedboileddrainedwithsalt;88.0;3.55;0.14;21.15;125.0
Burdockrootcookedboileddrainedwithoutsalt;88.0;3.55;0.14;21.15;125.0
Burdockrootraw;72.0;2.9;0.15;17.34;118.0
BURGERKINGCheeseburger;286.0;4.49;14.81;23.71;133.0
BURGERKINGChickenStrips;292.0;0.0;15.25;20.49;36.0
BURGERKINGCROISSANWICHwithEggandCheese;283.0;4.03;15.78;24.79;110.0
BURGERKINGCROISSANWICHwithSausageandCheese;376.0;3.36;25.45;23.0;131.0
BURGERKINGCROISSANWICHwithSausageEggandCheese;308.0;3.12;21.78;15.9;171.0
BURGERKINGDoubleCheeseburger;282.0;4.17;16.13;17.43;162.0
BURGERKINGDOUBLEWHOPPERnocheese;252.0;3.52;15.66;13.74;374.0
BURGERKINGDOUBLEWHOPPERwithcheese;266.0;3.61;17.06;13.52;399.0
BURGERKINGfrenchfries;280.0;0.51;12.48;38.7;74.0
BURGERKINGfrenchtoaststicks;349.0;9.89;17.74;41.21;21.0
BURGERKINGHamburger;261.0;5.6;10.55;26.76;99.0
BURGERKINGHashBrownRounds;302.0;0.63;19.3;29.37;5.6
BURGERKINGOnionRings;417.0;5.43;25.23;43.58;91.0
BURGERKINGOriginalChickenSandwich;286.0;3.02;14.69;26.22;199.0
BURGERKINGPremiumFishSandwich;260.0;3.53;12.45;26.69;220.0
BURGERKINGVanillaShake;168.0;11.67;8.74;19.03;24.8
BURGERKINGWHOPPERnocheese;233.0;4.22;12.84;18.55;291.0
BURGERKINGWHOPPERwithcheese;250.0;4.11;15.33;16.7;316.0
Burritobeanandcheesefrozen;221.0;3.21;6.3;34.01;129.0
Burritobeefandbeanfrozen;239.0;0.7;9.61;30.84;139.0
Burritobeefandbeanmicrowaved;298.0;1.36;11.94;38.95;116.0
Butteroilanhydrous;876.0;1.36;99.48;0.0;12.8
Butterreplacementwithoutfatpowder;373.0;5.3;1.0;89.0;80.0
Butterlightstickwithsalt;499.0;5.3;55.1;0.0;14.0
Butterlightstickwithoutsalt;499.0;5.3;55.1;0.0;14.0
Buttersalted;717.0;5.3;81.11;0.06;5.0
Butterwhippedwithsalt;731.0;0.06;78.3;0.0;3.8
Butterwithoutsalt;717.0;0.06;81.11;0.06;5.0
Butterburfukiraw;14.0;0.06;0.04;3.61;94.0
Butterburcanned;3.0;0.06;0.13;0.38;124.0
Cabbagechinesepakchoicookedboileddrainedwithsalt;12.0;0.83;0.16;1.78;170.0
Cabbagechinesepakchoicookedboileddrainedwithoutsalt;12.0;0.83;0.16;1.78;170.0
Cabbagechinesepakchoiraw;13.0;1.18;0.2;2.18;70.0
Cabbagechinesepetsaicookedboileddrainedwithsalt;14.0;1.18;0.17;2.41;119.0
Cabbagechinesepetsaicookedboileddrainedwithoutsalt;14.0;1.18;0.17;2.41;119.0
Cabbagechinesepetsairaw;16.0;1.41;0.2;3.23;76.0
Cabbagecommondanishdomesticandpointedtypesfreshlyharvestraw;24.0;1.41;0.18;5.37;35.0
Cabbagecommondanishdomesticandpointedtypesstoredraw;24.0;1.41;0.18;5.37;35.0
Cabbagecommoncookedboileddrainedwithsalt;23.0;2.79;0.06;5.51;75.0
Cabbagecookedboileddrainedwithoutsalt;23.0;2.79;0.06;5.51;75.0
Cabbagejapanesestylefreshpickled;30.0;1.3;0.1;5.67;150.0
Cabbagekimchi;15.0;1.06;0.5;2.4;150.0
Cabbagemustardsalted;28.0;1.4;0.1;5.63;128.0
Cabbagenapacooked;12.0;1.4;0.17;2.23;109.0
Cabbageraw;25.0;3.2;0.1;5.8;89.0
Cabbageredcookedboileddrainedwithsalt;29.0;3.32;0.09;6.94;22.0
Cabbageredcookedboileddrainedwithoutsalt;29.0;3.32;0.09;6.94;22.0
Cabbageredraw;31.0;3.83;0.16;7.37;89.0
Cabbagesavoycookedboileddrainedwithsalt;24.0;3.83;0.09;5.41;145.0
Cabbagesavoycookedboileddrainedwithoutsalt;24.0;3.83;0.09;5.41;145.0
Cabbagesavoyraw;27.0;2.27;0.1;6.1;70.0
Cakeangelfoodcommerciallyprepared;258.0;2.27;0.8;57.8;28.0
Cakeangelfooddrymixprepared;257.0;30.51;0.3;58.7;50.0
Cakebostoncreampiecommerciallyprepared;252.0;36.11;8.5;42.9;28.35
Cakecheesecakecommerciallyprepared;321.0;21.8;22.5;25.5;28.35
Cakecheesecakepreparedfrommixnobaketype;274.0;21.8;12.7;35.5;28.35
Cakecherryfudgewithchocolatefrosting;264.0;32.94;12.5;38.0;28.35
Cakechocolatecommerciallypreparedwithchocolatefrostinginstorebakery;389.0;39.96;20.05;52.84;138.0
Cakechocolatepreparedfromrecipewithoutfrosting;371.0;39.96;15.1;53.4;95.0
Cakecoffeecakecheese;339.0;39.96;15.2;44.3;28.35
Cakecoffeecakecinnamonwithcrumbtoppingcommerciallypreparedenriched;418.0;39.96;23.3;46.7;28.35
Cakecoffeecakecinnamonwithcrumbtoppingcommerciallypreparedunenriched;418.0;39.96;23.3;46.7;28.35
Cakecoffeecakecinnamonwithcrumbtoppingdrymixprepared;318.0;29.53;9.6;52.8;28.35
Cakecoffeecakecremefilledwithchocolatefrosting;331.0;29.53;10.8;53.8;28.35
Cakecoffeecakefruit;311.0;29.53;10.2;51.5;28.35
Cakefruitcakecommerciallyprepared;324.0;27.42;9.1;61.6;28.35
Cakegingerbreaddrymix;437.0;46.62;13.8;74.6;28.35
Cakegingerbreadpreparedfromrecipe;356.0;46.62;16.4;49.2;28.35
Cakepineappleupsidedownpreparedfromrecipe;319.0;46.62;12.1;50.5;28.35
CakepoundBimboBakeriesUSAPanqueCaserohomebakedstyle;418.0;28.77;21.7;48.94;39.0
Cakepoundcommerciallypreparedbutterincludesfreshandfrozen;353.0;33.36;13.96;53.64;61.0
Cakepoundcommerciallypreparedfatfree;283.0;34.34;1.2;61.0;28.35
Cakepoundcommerciallypreparedotherthanallbutterenriched;389.0;34.34;17.9;52.5;30.0
Cakepoundcommerciallypreparedotherthanallbutterunenriched;389.0;34.34;17.9;52.5;30.0
Cakepuddingtypecarrotdrymix;415.0;34.34;9.8;79.2;28.35
Cakepuddingtypechocolatedrymix;391.0;39.53;8.14;80.16;28.35
Cakepuddingtypewhiteenricheddrymix;423.0;48.95;9.5;80.9;28.35
Cakepuddingtypewhiteunenricheddrymix;423.0;48.95;9.5;81.0;28.35
Cakepuddingtypeyellowdrymix;423.0;44.21;9.8;80.0;28.35
Cakeshortcakebiscuittypepreparedfromrecipe;346.0;44.21;14.2;48.5;28.35
Cakesnackcakescremefilledchocolatewithfrosting;399.0;37.76;15.93;60.31;28.35
Cakesnackcakescremefilledchocolatewithfrostinglowfatwithaddedfiber;409.0;33.42;13.0;69.37;27.0
Cakesnackcakescremefilledsponge;374.0;37.3;11.54;64.03;28.35
Cakesnackcakesnotchocolatewithicingorfillinglowfatwithaddedfiber;412.0;29.71;11.14;74.3;27.0
Cakespongecommerciallyprepared;290.0;36.66;2.7;61.0;28.35
Cakespongepreparedfromrecipe;297.0;36.66;4.3;57.7;28.35
Cakewhitedrymixspecialdietaryincludeslemonflavored;397.0;36.66;8.4;79.6;28.35
Cakewhitepreparedfromrecipewithcoconutfrosting;356.0;57.39;10.3;63.2;28.35
Cakewhitepreparedfromrecipewithoutfrosting;357.0;35.49;12.4;57.2;74.0
Cakeyellowcommerciallypreparedwithchocolatefrostinginstorebakery;379.0;39.22;17.75;55.36;144.0
Cakeyellowcommerciallypreparedwithvanillafrosting;391.0;41.79;17.91;56.2;67.0
Cakeyellowenricheddrymix;374.0;43.29;3.5;81.92;43.0
Cakeyellowlightdrymix;404.0;43.29;5.5;84.1;28.35
Cakeyellowpreparedfromrecipewithoutfrosting;361.0;43.29;14.6;53.0;68.0
Cakeyellowunenricheddrymix;432.0;43.29;11.6;78.1;28.35
CAMPBELLSCHUNKYClassicChickenNoodleSoup;47.0;0.41;1.3;5.41;243.0
CAMPBELLSCHUNKYHeartyBeefBarleySoup;56.0;1.17;0.92;8.98;206.0
CAMPBELLSCHUNKYNewEnglandClamChowder;81.0;0.0;3.85;9.01;251.0
CAMPBELLSCHUNKYOldFashionedVegetableBeefSoup;49.0;1.15;1.23;6.24;247.0
CAMPBELLSChickenNoodleSoupcondensed;47.0;0.0;1.53;5.97;123.0
CAMPBELLSCreamofMushroomSoupcondensed;81.0;0.4;5.5;6.59;129.0
CAMPBELLSTomatoSoupcondensed;71.0;8.23;0.44;15.22;124.0
CanadaGoosebreastmeatonlyskinlessraw;133.0;8.23;4.02;0.0;85.0
Canadianbaconcookedpanfried;146.0;1.2;2.78;1.8;13.8
Canadianbaconunprepared;110.0;0.9;2.62;1.34;85.0
Candies5THAVENUECandyBar;482.0;47.19;23.98;62.68;56.0
CandiesALMONDJOYCandyBar;479.0;48.34;26.93;59.51;49.0
Candiesbutterscotch;391.0;80.46;3.3;90.4;28.35
CandiesCARAMELLOCandyBar;462.0;56.92;21.19;63.81;35.0
Candiescaramels;382.0;65.5;8.1;77.0;71.0
Candiescaramelschocolateflavorroll;387.0;56.32;3.31;87.73;6.6
Candiescarobunsweetened;540.0;34.11;31.36;56.29;28.35
Candieschocolatecoveredcaramelwithnuts;470.0;41.35;21.0;60.67;14.0
Candieschocolatecoveredlowsugarorlowcalorie;590.0;14.63;43.27;37.68;36.0
